"campaignid","dataset","planned.or.exploratory","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO125","-34.10868897","114.8263721","20201015","12:38:00",NA,NA,NA,"55.8","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO123","-34.10618897","114.8188721","20201015","12:42:00",NA,NA,NA,"49.1","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO132","-33.99118897","114.8713721","20201013","12:47:00",NA,NA,NA,"42.6","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO225","-34.07118897","114.8338721","20201015","14:20:00",NA,NA,NA,"44.9","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO223","-34.07118897","114.8463721","20201015","14:25:00",NA,NA,NA,"42.9","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO16","-34.07368897","114.8688721","20201016","09:43:00",NA,NA,NA,"41.4",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO224","-34.06118897","114.8388721","20201015","14:35:00",NA,NA,NA,"43.6","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO353","-34.05436667","114.8390667","20201015","14:43:00",NA,NA,NA,"44.1","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO201","-34.05618897","114.8338721","20201015","14:46:00",NA,NA,NA,"45.3","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO222","-34.06618897","114.8313721","20201015","14:54:00",NA,NA,NA,"45","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH25","-33.87868897","114.8163721","20201013","07:34:00",NA,NA,NA,"45.4","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH42","-33.88118897","114.8113721","20201013","07:38:00",NA,NA,NA,"45.7","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH58","-33.66368897","114.8413721","20201012","07:47:00",NA,NA,NA,"45.1","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH9","-33.90118897","114.8513721","20201013","07:58:00",NA,NA,NA,"43.6","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH41","-33.67118897","114.8388721","20201012","08:01:00",NA,NA,NA,"44.1","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH16","-33.90118897","114.8563721","20201013","08:02:00",NA,NA,NA,"43.1","Hayley","Yes","check calibration"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH51","-33.90618897","114.8538721","20201013","08:06:00",NA,NA,NA,"43","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH70","-33.67368897","114.8463721","20201012","08:07:00",NA,NA,NA,"48.6","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH47","-33.90618897","114.8488721","20201013","08:09:00",NA,NA,NA,"43.5","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH63","-33.67868897","114.8163721","20201012","08:20:00",NA,NA,NA,"46.3","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH59","-33.66868897","114.8188721","20201012","08:32:00",NA,NA,NA,"44.6","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO336","-34.0924","114.8663667","20201016","10:03:00",NA,NA,NA,"43.2",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","FH","Captains pick","FHCO3","-33.948622","114.819555","20201013","09:56:00",NA,NA,NA,"44.5","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH68","-33.95118897","114.8288721","20201013","10:01:00",NA,NA,NA,"44.5","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH99","-33.95368897","114.8363721","20201013","10:04:00",NA,NA,NA,"43.5","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH89","-33.68618897","114.8013721","20201012","10:34:00",NA,NA,NA,"45.7","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH45","-33.69368897","114.7988721","20201012","10:39:00",NA,NA,NA,"47.6","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH69","-33.69618897","114.8038721","20201012","10:43:00",NA,NA,NA,"46.9","Ramesh","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH65","-33.71368897","114.8188721","20201012","10:59:00",NA,NA,NA,"45.7","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH10","-33.98618897","114.8863721","20201013","12:32:00",NA,NA,NA,"42.9","Hayley","Yes","Yes - 24 of 47 coris measured"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH52","-33.99118897","114.8888721","20201013","12:36:00",NA,NA,NA,"42.1","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH74","-33.73118897","114.8063721","20201012","12:47:00",NA,NA,NA,"44.9","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH57","-33.78868897","114.8113721","20201012","13:12:00",NA,NA,NA,"45.8","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH106","-33.78868897","114.8163721","20201012","13:16:00",NA,NA,NA,"47.1","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO157","-33.97118897","114.8238721","20201013","10:14:00",NA,NA,NA,"45.6",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH48","-33.79618897","114.8138721","20201012","13:23:00",NA,NA,NA,"48.5","Claude","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH60","-33.81618897","114.8213721","20201012","15:14:00",NA,NA,NA,"44.5","Claude","Yes",NA
