"campaignid","sample","slope","aspect","roughness","tpi"
"2020-10_south-west_stereo-BRUVs","FH77",0.0018087369389832,3.77475828372553e-15,1,0.375
"2020-10_south-west_stereo-BRUVs","IO349",0.00211741589009762,0.875433564186096,1,-0.375
"2020-10_south-west_stereo-BRUVs","FH2",0.0018087369389832,6.28318548202515,1,-0.375
"2020-10_south-west_stereo-BRUVs","IO310",0.00721985893324018,5.31120681762695,5,0.25
"2020-10_south-west_stereo-BRUVs","IO308",0.00382426055148244,4.59387111663818,2,0.125
"2020-10_south-west_stereo-BRUVs","IO92",0.000706174701917917,0.875868856906891,1,0.125
"2020-10_south-west_stereo-BRUVs","IO146",0.0023476961068809,5.10782957077026,1,0.5
"2020-10_south-west_stereo-BRUVs","IO119",0.00216907216235995,1.57079637050629,1,-0.375
"2020-10_south-west_stereo-BRUVs","IO235",0.00443088449537754,1.36524748802185,2,-0.875
"2020-10_south-west_stereo-BRUVs","IO100",0.00235005374997854,1.17577421665192,1,0.5
"2020-10_south-west_stereo-BRUVs","IO36",0.00470138201490045,4.31748247146606,3,0.375
"2020-10_south-west_stereo-BRUVs","IO147",0.000705598096828908,5.40799808502197,1,0.125
"2020-10_south-west_stereo-BRUVs","FH15",0.00281670736148953,2.26808929443359,2,0.25
"2020-10_south-west_stereo-BRUVs","IO306",0.00718075269833207,4.52233505249023,4,0.625
"2020-10_south-west_stereo-BRUVs","IO148",1.38777878078145e-17,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","FH30",0.00234243529848754,1.96717476844788,1,-0.5
"2020-10_south-west_stereo-BRUVs","FHCO2",0.001682014670223,4.44020557403564,1,0.25
"2020-10_south-west_stereo-BRUVs","FH93",0.00234301690943539,1.96707093715668,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO244",0.00210849149152637,0.539755642414093,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO260",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO324",0.0018087369389832,6.28318548202515,1,0.375
"2020-10_south-west_stereo-BRUVs","IO259",0.00146066688466817,2.76174688339233,1,0.25
"2020-10_south-west_stereo-BRUVs","IO254",0.00506221456453204,4.98367881774902,3,0.25
"2020-10_south-west_stereo-BRUVs","IO5",0.0119311101734638,4.71238899230957,6,-0.5
"2020-10_south-west_stereo-BRUVs","IO134",0.00210836040787399,3.68124461174011,1,0.5
"2020-10_south-west_stereo-BRUVs","IO191",0.0032506303396076,4.71238899230957,2,0.25
"2020-10_south-west_stereo-BRUVs","IO236",0.00211826292797923,5.4074182510376,1,0.375
"2020-10_south-west_stereo-BRUVs","IO194",0.00234816665761173,5.10774612426758,1,0.5
